"wavenumber","intensity"
674.9918,0.5104075
678.8489,0.505179
682.706,0.5052269
686.5631,0.5031692
690.4202,0.5029965
694.2773,0.503274
698.1344,0.5045204
701.9915,0.5055484
705.8486,0.5053419
709.7057,0.5043528
713.5628,0.5027167
717.4199,0.5006917
721.277,0.4992502
725.1341,0.4971954
728.9911,0.496101
732.8483,0.495501
736.7054,0.49438
740.5624,0.4925274
744.4196,0.4907636
748.2767,0.489339
752.1337,0.4881518
755.9908,0.4867525
759.848,0.4851501
763.705,0.4843687
767.5621,0.4839031
771.4193,0.4825345
775.2763,0.4818466
779.1334,0.4816803
782.9905,0.4814613
786.8476,0.4808404
790.7047,0.4798718
794.5618,0.4787671
798.4189,0.4781378
802.276,0.477823
806.1331,0.4773108
809.9902,0.4767921
813.8473,0.4760873
817.7043,0.4749233
821.5615,0.4726461
825.4186,0.4708205
829.2756,0.4705041
833.1328,0.4703849
836.9899,0.4703101
840.8469,0.4701835
844.704,0.4699606
848.5612,0.4695691
852.4182,0.4694695
856.2753,0.4686256
860.1324,0.4681916
863.9895,0.4672547
867.8466,0.4662696
871.7037,0.4661514
875.5608,0.4668522
879.4179,0.4674807
883.275,0.4690126
887.1321,0.4710077
890.9892,0.4725946
894.8463,0.4730192
898.7034,0.4717681
902.5605,0.469396
906.4176,0.4667564
910.2747,0.4641156
914.1318,0.4622679
917.9889,0.4602962
921.8459,0.458678
925.7031,0.4582368
929.5602,0.4579794
933.4172,0.4570875
937.2744,0.4570064
941.1315,0.4575956
944.9885,0.4579588
948.8456,0.4581817
952.7028,0.4588688
956.5598,0.4605411
960.4169,0.4625805
964.274,0.464003
968.1311,0.4647774
971.9882,0.4650112
975.8453,0.4649279
979.7024,0.4668269
983.5595,0.4704348
987.4166,0.4728339
991.2737,0.4743676
995.1308,0.4754064
998.9879,0.4761276
1002.845,0.4764057
1006.702,0.4766906
1010.559,0.4767946
1014.416,0.475808
1018.273,0.4750585
1022.13,0.4747405
1025.988,0.4736557
1029.845,0.4725078
1033.702,0.4721344
1037.559,0.4721572
1041.416,0.4720495
1045.273,0.4724707
1049.13,0.4721888
1052.987,0.4707951
1056.844,0.4693737
1060.701,0.4674744
1064.559,0.4647613
1068.416,0.4624178
1072.273,0.4615707
1076.13,0.4614416
1079.987,0.4606396
1083.844,0.4602267
1087.701,0.4607864
1091.558,0.461943
1095.415,0.4628281
1099.272,0.4629137
1103.13,0.4629706
1106.987,0.4622898
1110.844,0.4599257
1114.701,0.456374
1118.558,0.4531745
1122.415,0.4503922
1126.272,0.4482775
1130.129,0.4467349
1133.986,0.4465404
1137.843,0.4486962
1141.7,0.4523219
1145.558,0.4546523
1149.415,0.4548137
1153.272,0.4542931
1157.129,0.453226
1160.986,0.4502397
1164.843,0.4456955
1168.7,0.4402751
1172.557,0.4353953
1176.414,0.4321699
1180.271,0.4313303
1184.129,0.432438
1187.986,0.4348464
1191.843,0.4388736
1195.7,0.4429226
1199.557,0.4455989
1203.414,0.4467585
1207.271,0.4459123
1211.128,0.4443783
1214.985,0.44442
1218.842,0.4460956
1222.699,0.447744
1226.557,0.4491502
1230.414,0.4504356
1234.271,0.4508104
1238.128,0.4502273
1241.985,0.4501815
1245.842,0.4505526
1249.699,0.4508678
1253.556,0.4510702
1257.413,0.4512526
1261.271,0.4515431
1265.128,0.4516996
1268.985,0.4517018
1272.842,0.4525472
1276.699,0.4536374
1280.556,0.4538302
1284.413,0.4526512
1288.27,0.4515003
1292.127,0.4514052
1295.984,0.4516793
1299.841,0.4520256
1303.698,0.4532238
1307.556,0.4551031
1311.413,0.456514
1315.27,0.4568917
1319.127,0.456944
1322.984,0.4566213
1326.841,0.4560907
1330.698,0.4563471
1334.555,0.4568738
1338.412,0.4564103
1342.27,0.4554339
1346.127,0.4544306
1349.984,0.4541938
1353.841,0.4549137
1357.698,0.4558834
1361.555,0.4561804
1365.412,0.4560063
1369.269,0.4559346
1373.126,0.4554383
1376.983,0.453765
1380.84,0.4515496
1384.698,0.4492634
1388.555,0.4472772
1392.412,0.4459318
1396.269,0.4449145
1400.126,0.4444364
1403.983,0.4444735
1407.84,0.4447931
1411.697,0.4451245
1415.554,0.4458685
1419.411,0.4479783
1423.269,0.4496573
1427.125,0.4503783
1430.983,0.4500715
1434.84,0.4485051
1438.697,0.4467483
1442.554,0.4456104
