"wavenumber","intensity"
674.9918,0.2510032
678.8489,0.2485984
682.706,0.2486371
686.5631,0.2500192
690.4202,0.2509017
694.2773,0.2504088
698.1344,0.2507482
701.9915,0.2507074
705.8486,0.2497905
709.7057,0.2484909
713.5628,0.2475866
717.4199,0.2461201
721.277,0.2444098
725.1341,0.2422092
728.9911,0.2405803
732.8483,0.2392763
736.7054,0.2382161
740.5624,0.2377452
744.4196,0.2374761
748.2767,0.2366585
752.1337,0.2357939
755.9908,0.2343387
759.848,0.2323
763.705,0.2321236
767.5621,0.2332083
771.4193,0.2332729
775.2763,0.2328807
779.1334,0.2323845
782.9905,0.2322557
786.8476,0.2325219
790.7047,0.2320077
794.5618,0.2310867
798.4189,0.2309459
802.276,0.2306153
806.1331,0.2302234
809.9902,0.2303501
813.8473,0.2305712
817.7043,0.2305337
821.5615,0.230382
825.4186,0.2298775
829.2756,0.2295347
833.1328,0.2297651
836.9899,0.2304742
840.8469,0.2308127
844.704,0.2308732
848.5612,0.2305229
852.4182,0.2299943
856.2753,0.2294676
860.1324,0.2294589
863.9895,0.2295308
867.8466,0.228837
871.7037,0.2292658
875.5608,0.2302927
879.4179,0.2309005
883.275,0.2314655
887.1321,0.2315374
890.9892,0.2317903
894.8463,0.2322466
898.7034,0.232608
902.5605,0.232096
906.4176,0.2316032
910.2747,0.2315266
914.1318,0.230924
917.9889,0.2304523
921.8459,0.2304043
925.7031,0.2300422
929.5602,0.2300103
933.4172,0.2301188
937.2744,0.2301003
941.1315,0.2302035
944.9885,0.2300421
948.8456,0.2298615
952.7028,0.2303731
956.5598,0.2308023
960.4169,0.2311433
964.274,0.2311998
968.1311,0.2315521
971.9882,0.232214
975.8453,0.2330424
979.7024,0.234133
983.5595,0.2353333
987.4166,0.2360954
991.2737,0.2363533
995.1308,0.2366631
998.9879,0.2363939
1002.845,0.2359338
1006.702,0.2357296
1010.559,0.2354047
1014.416,0.235147
1018.273,0.2348447
1022.13,0.2342185
1025.988,0.2338399
1029.845,0.2335266
1033.702,0.2326432
1037.559,0.2322721
1041.416,0.232807
1045.273,0.2332174
1049.13,0.2331791
1052.987,0.2324593
1056.844,0.2314011
1060.701,0.2301372
1064.559,0.2289969
1068.416,0.2281159
1072.273,0.2276032
1076.13,0.2272533
1079.987,0.2272251
1083.844,0.2272114
1087.701,0.2274408
1091.558,0.2287257
1095.415,0.2305109
1099.272,0.2316011
1103.13,0.2317836
1106.987,0.2311698
1110.844,0.2299029
1114.701,0.228313
1118.558,0.2269701
1122.415,0.2258562
1126.272,0.2245857
1130.129,0.2232227
1133.986,0.2223123
1137.843,0.2222813
1141.7,0.2235344
1145.558,0.2249
1149.415,0.2250878
1153.272,0.2245492
1157.129,0.2239415
1160.986,0.2224182
1164.843,0.2201808
1168.7,0.2180777
1172.557,0.215672
1176.414,0.212725
1180.271,0.210364
1184.129,0.2092641
1187.986,0.2095319
1191.843,0.2107241
1195.7,0.2123228
1199.557,0.2136437
1203.414,0.214442
1207.271,0.2137092
1211.128,0.212124
1214.985,0.2115373
1218.842,0.2120754
1222.699,0.2132935
1226.557,0.21465
1230.414,0.2158685
1234.271,0.2164205
1238.128,0.2162647
1241.985,0.2164109
1245.842,0.2169615
1249.699,0.2173199
1253.556,0.2175918
1257.413,0.2176812
1261.271,0.217581
1265.128,0.2181231
1268.985,0.2189901
1272.842,0.2201294
1276.699,0.2214016
1280.556,0.2220051
1284.413,0.2214386
1288.27,0.220728
1292.127,0.220587
1295.984,0.220827
1299.841,0.2214161
1303.698,0.2227646
1307.556,0.2242951
1311.413,0.2249066
1315.27,0.2250216
1319.127,0.2247933
1322.984,0.223949
1326.841,0.2236301
1330.698,0.2238823
1334.555,0.2239555
1338.412,0.2234037
1342.27,0.2225604
1346.127,0.2218222
1349.984,0.2216243
1353.841,0.2218378
1357.698,0.2219783
1361.555,0.2219017
1365.412,0.2218558
1369.269,0.2216918
1373.126,0.220814
1376.983,0.219042
1380.84,0.2171407
1384.698,0.2155279
1388.555,0.2143413
1392.412,0.21384
1396.269,0.2141028
1400.126,0.2144679
1403.983,0.2146316
1407.84,0.2149447
1411.697,0.2154512
1415.554,0.2160367
1419.411,0.217268
1423.269,0.2187343
1427.125,0.2193537
1430.983,0.2189909
1434.84,0.2178352
1438.697,0.2166266
1442.554,0.2161239
1446.411,0.2157655
1450.268,0.2155277
1454.125,0.2151999
1457.982,0.2147738
1461.839,0.2136707
1465.697,0.2124834
1469.554,0.2117784
1473.411,0.2112961
1477.268,0.2107885
1481.125,0.2104169
1484.982,0.2097695
1488.839,0.2089187
1492.696,0.2084297
1496.553,0.2078308
1500.41,0.2072367
1504.268,0.2067116
1508.125,0.2060369
1511.982,0.2058729
1515.839,0.2054326
1519.696,0.2049899
1523.553,0.2052625
1527.41,0.2057968
1531.267,0.2057555
1535.124,0.2054172
1538.981,0.2053873
1542.838,0.205433
1546.696,0.2052598
1550.553,0.2053512
1554.41,0.2054204
1558.267,0.2051047
1562.124,0.204739
1565.981,0.2046844
1569.838,0.2046516
1573.695,0.2048149
1577.552,0.2048954
1581.409,0.2046275
1585.267,0.2043149
1589.124,0.2040838
1592.981,0.2039902
1596.838,0.2040034
1600.695,0.2041236
1604.552,0.2041562
1608.409,0.20412
1612.266,0.2042641
1616.123,0.2045477
1619.98,0.2045996
1623.837,0.2048029
1627.695,0.2051861
1631.552,0.2050866
1635.409,0.2051072
1639.266,0.2053612
1643.123,0.2051395
1646.98,0.2046116
1650.837,0.2044253
1654.694,0.2046441
1658.551,0.2042206
1662.408,0.2036983
1666.266,0.2034247
1670.123,0.2031233
1673.98,0.202712
1677.837,0.2022321
1681.694,0.2018335
1685.551,0.2015489
1689.408,0.2010872
1693.265,0.2005344
1697.122,0.2001652
1700.979,0.1997956
1704.837,0.1994128
1708.694,0.1991031
1712.551,0.1988426
1716.408,0.1986868
1720.265,0.1984522
1724.122,0.1980142
1727.979,0.1976874
1731.836,0.1977111
1735.693,0.197785
1739.55,0.1977306
1743.407,0.1973681
1747.265,0.1968203
1751.122,0.1965737
1754.979,0.1965791
1758.836,0.1964216
1762.693,0.1962718
1766.55,0.1961628
1770.407,0.1959444
1774.264,0.1958413
1778.121,0.1955549
1781.978,0.1953012
1785.836,0.1950862
1789.693,0.1950627
1793.55,0.1951552
1797.407,0.1950685
1801.264,0.1949168
1805.121,0.1945795
1808.978,0.1942308
1812.835,0.1940994
1816.692,0.1938757
1820.549,0.1937479
1824.406,0.1937664
1828.264,0.1936176
1832.121,0.1934641
1835.978,0.1934536
1839.835,0.1935653
1843.692,0.1937259
1847.549,0.193614
