"wavenumber","intensity"
674.9918,0.4160337
678.8489,0.4097122
682.706,0.4096163
686.5631,0.4108458
690.4202,0.4132901
694.2773,0.4136662
698.1344,0.4143205
701.9915,0.4154838
705.8486,0.4161797
709.7057,0.4150468
713.5628,0.4137756
717.4199,0.4127474
721.277,0.4128932
725.1341,0.4115458
728.9911,0.4096825
732.8483,0.4076255
736.7054,0.4062444
740.5624,0.4051416
744.4196,0.4042648
748.2767,0.4034171
752.1337,0.403414
755.9908,0.4033662
759.848,0.4020591
763.705,0.4000266
767.5621,0.399264
771.4193,0.3985847
775.2763,0.3989716
779.1334,0.3998792
782.9905,0.400215
786.8476,0.4001049
790.7047,0.4006175
794.5618,0.400465
798.4189,0.3994901
802.276,0.3992105
806.1331,0.3993706
809.9902,0.3990307
813.8473,0.3996456
817.7043,0.4006357
821.5615,0.399996
825.4186,0.3985556
829.2756,0.3983787
833.1328,0.3991282
836.9899,0.3998638
840.8469,0.3997329
844.704,0.4006085
848.5612,0.4015084
852.4182,0.4010418
856.2753,0.3998049
860.1324,0.3995749
863.9895,0.399975
867.8466,0.4013762
871.7037,0.4031723
875.5608,0.4048046
879.4179,0.4070942
883.275,0.4103276
887.1321,0.4139987
890.9892,0.4178098
894.8463,0.4195997
898.7034,0.4190102
902.5605,0.4168198
906.4176,0.4146763
910.2747,0.4127355
914.1318,0.4113085
917.9889,0.4103521
921.8459,0.4100062
925.7031,0.4099748
929.5602,0.4108057
933.4172,0.4118821
937.2744,0.4126997
941.1315,0.4130623
944.9885,0.4136534
948.8456,0.4154873
952.7028,0.4184142
956.5598,0.4217377
960.4169,0.4255278
964.274,0.4288656
968.1311,0.4314747
971.9882,0.4340917
975.8453,0.4382151
979.7024,0.4456238
983.5595,0.4536574
987.4166,0.4595537
991.2737,0.4646666
995.1308,0.4686897
998.9879,0.4710372
1002.845,0.472072
1006.702,0.4740401
1010.559,0.4764663
1014.416,0.4787688
1018.273,0.4814195
1022.13,0.484158
1025.988,0.486513
1029.845,0.4884754
1033.702,0.4891723
1037.559,0.4873278
1041.416,0.485125
1045.273,0.4851595
1049.13,0.4868714
1052.987,0.4886104
1056.844,0.4887668
1060.701,0.4859104
1064.559,0.4805023
1068.416,0.474876
1072.273,0.4708021
1076.13,0.4684081
1079.987,0.4659898
1083.844,0.464117
1087.701,0.4627917
1091.558,0.4620026
1095.415,0.4632366
1099.272,0.4648938
1103.13,0.4666874
1106.987,0.4685197
1110.844,0.4683922
1114.701,0.4648618
1118.558,0.4587486
1122.415,0.4521086
1126.272,0.4440638
1130.129,0.4356407
1133.986,0.4287833
1137.843,0.4252382
1141.7,0.4267875
1145.558,0.4305319
1149.415,0.4340623
1153.272,0.4368255
1157.129,0.4392889
1160.986,0.4394262
1164.843,0.4342234
1168.7,0.4239741
1172.557,0.410937
1176.414,0.3979846
1180.271,0.3883578
1184.129,0.3830805
1187.986,0.3821798
1191.843,0.3851506
1195.7,0.3893511
1199.557,0.3926087
1203.414,0.3932947
1207.271,0.3904894
1211.128,0.3869512
1214.985,0.3861721
1218.842,0.3887702
1222.699,0.3928218
1226.557,0.3964604
1230.414,0.3990977
1234.271,0.4005948
1238.128,0.4005272
1241.985,0.400508
1245.842,0.4011581
1249.699,0.4017079
1253.556,0.4019317
1257.413,0.4022189
1261.271,0.4028396
1265.128,0.4038001
1268.985,0.4052942
1272.842,0.4078873
1276.699,0.4107455
1280.556,0.4120007
1284.413,0.4101318
1288.27,0.408036
1292.127,0.4083806
1295.984,0.4101655
1299.841,0.4126352
1303.698,0.416501
1307.556,0.4215448
1311.413,0.4261498
1315.27,0.4278936
1319.127,0.42632
1322.984,0.423465
1326.841,0.4221747
1330.698,0.4238868
1334.555,0.4259662
1338.412,0.4245858
1342.27,0.4215844
1346.127,0.4195231
1349.984,0.4196766
1353.841,0.4218235
1357.698,0.4240422
1361.555,0.4253308
1365.412,0.4263324
1369.269,0.4266268
1373.126,0.4247103
1376.983,0.4192908
1380.84,0.4129221
1384.698,0.4072232
1388.555,0.4033402
1392.412,0.401596
1396.269,0.4012493
1400.126,0.4019894
1403.983,0.4032653
1407.84,0.4041573
1411.697,0.4052309
1415.554,0.4072003
1419.411,0.410212
1423.269,0.412596
1427.125,0.4133343
1430.983,0.4123383
1434.84,0.4099502
1438.697,0.4065714
1442.554,0.4043272
1446.411,0.4027898
1450.268,0.4012185
1454.125,0.399482
1457.982,0.3967601
1461.839,0.3947417
1465.697,0.392544
1469.554,0.3901415
1473.411,0.3870958
1477.268,0.3846793
1481.125,0.3822795
1484.982,0.379115
1488.839,0.3747037
1492.696,0.3715665
1496.553,0.3702189
1500.41,0.3699767
1504.268,0.3708238
1508.125,0.3692009
1511.982,0.3675792
1515.839,0.3676427
1519.696,0.3668625
1523.553,0.365804
1527.41,0.3655637
1531.267,0.3652324
1535.124,0.3646509
1538.981,0.364085
1542.838,0.3635327
1546.696,0.3642934
1550.553,0.3644913
1554.41,0.3650344
1558.267,0.3654619
1562.124,0.3657193
1565.981,0.3655651
1569.838,0.365966
1573.695,0.3657541
1577.552,0.3659393
1581.409,0.3662296
1585.267,0.3665803
1589.124,0.3668309
1592.981,0.3669747
1596.838,0.3672093
1600.695,0.3677958
1604.552,0.368506
1608.409,0.3693302
1612.266,0.370184
1616.123,0.3706208
1619.98,0.3712095
1623.837,0.3723948
1627.695,0.3733289
1631.552,0.3741458
1635.409,0.3740957
1639.266,0.3736071
1643.123,0.3739218
1646.98,0.3737787
1650.837,0.3731926
1654.694,0.3729743
1658.551,0.3722494
1662.408,0.3716992
1666.266,0.37095
1670.123,0.3696043
1673.98,0.3684549
1677.837,0.3679577
1681.694,0.3676383
1685.551,0.3659298
1689.408,0.3649352
1693.265,0.3649657
1697.122,0.3649747
1700.979,0.3651613
1704.837,0.3647341
1708.694,0.3641745
1712.551,0.3639072
1716.408,0.3630432
1720.265,0.3621539
1724.122,0.3610405
1727.979,0.3603157
1731.836,0.3592372
1735.693,0.3578541
1739.55,0.3574064
1743.407,0.357164
1747.265,0.3561636
1751.122,0.3550961
1754.979,0.354279
1758.836,0.3535072
1762.693,0.3523701
1766.55,0.3519498
1770.407,0.3514143
1774.264,0.3502259
1778.121,0.3496698
1781.978,0.3496253
1785.836,0.3495339
1789.693,0.3495297
1793.55,0.348702
1797.407,0.348475
1801.264,0.3487155
1805.121,0.3486125
1808.978,0.348219
1812.835,0.3477582
1816.692,0.3476002
1820.549,0.347837
1824.406,0.3480267
1828.264,0.3476879
1832.121,0.3469991
1835.978,0.3467722
1839.835,0.3468337
1843.692,0.3465045
1847.549,0.3460448
1851.406,0.3457751
1855.263,0.3452915
1859.12,0.3449277
1862.977,0.3448199
1866.835,0.3446989
1870.692,0.3447486
1874.549,0.3448833
1878.406,0.3445567
1882.263,0.3443185
1886.12,0.344585
1889.977,0.3447964
1893.834,0.3448912
1897.691,0.3448184
1901.548,0.3446599
1905.406,0.3446247
1909.263,0.3445294
1913.12,0.3446599
1916.977,0.3449887
1920.834,0.34494
1924.691,0.3449067
1928.548,0.3450343
1932.405,0.3452081
1936.262,0.3454468
1940.119,0.3457196
1943.976,0.3459393
1947.834,0.3463153
1951.691,0.3465997
1955.548,0.3463929
1959.405,0.3462769
1963.262,0.3464362
1967.119,0.3462833
1970.976,0.3459345
1974.833,0.3459648
1978.69,0.3460012
1982.547,0.3459474
1986.405,0.3460016
1990.262,0.3459418
1994.119,0.3457175
1997.976,0.3457825
2001.833,0.3459633
2005.69,0.3457769
2009.547,0.3457217
2013.404,0.3459798
2017.261,0.3461193
2021.118,0.3461721
2024.975,0.346286
2028.833,0.3464649
2032.69,0.3466495
2036.547,0.3470059
2040.404,0.3472152
2044.261,0.3472731
2048.118,0.3473428
2051.975,0.3473817
2055.832,0.3474769
2059.689,0.3474209
2063.546,0.3471524
2067.404,0.3473012
2071.261,0.347628
2075.118,0.3475596
2078.975,0.3472404
2082.832,0.3472983
2086.689,0.3474928
