"wavenumber","intensity"
674.9918,0.5616592
678.8489,0.5475246
682.706,0.5475246
686.5631,0.547227
690.4202,0.5489157
694.2773,0.5509671
698.1344,0.5532961
701.9915,0.553808
705.8486,0.5525255
709.7057,0.5474733
713.5628,0.5406479
717.4199,0.5319324
721.277,0.5216958
725.1341,0.5113225
728.9911,0.5020184
732.8483,0.4960748
736.7054,0.4930793
740.5624,0.4901598
744.4196,0.4881135
748.2767,0.4876973
752.1337,0.4867835
755.9908,0.4850315
759.848,0.4835761
763.705,0.4837019
767.5621,0.4847739
771.4193,0.4850728
775.2763,0.4856101
779.1334,0.4866359
782.9905,0.4877714
786.8476,0.4891517
790.7047,0.4897945
794.5618,0.490537
798.4189,0.4914807
802.276,0.492018
806.1331,0.4930744
809.9902,0.4942311
813.8473,0.4944295
817.7043,0.4955716
821.5615,0.4974374
825.4186,0.4977402
829.2756,0.4983355
833.1328,0.4999071
836.9899,0.5021374
840.8469,0.504172
844.704,0.5064979
848.5612,0.5084465
852.4182,0.5095426
856.2753,0.5103404
860.1324,0.5125549
863.9895,0.5157898
867.8466,0.5197388
871.7037,0.5238359
875.5608,0.5287924
879.4179,0.5340493
883.275,0.5400184
887.1321,0.5471684
890.9892,0.5536668
894.8463,0.5586058
898.7034,0.5605903
902.5605,0.5595801
906.4176,0.5585555
910.2747,0.5573312
914.1318,0.5557887
917.9889,0.5550752
921.8459,0.5565675
925.7031,0.5592774
929.5602,0.5623676
933.4172,0.5660079
937.2744,0.5697802
941.1315,0.5733249
944.9885,0.5778696
948.8456,0.5839811
952.7028,0.5910358
956.5598,0.5984217
960.4169,0.6072826
964.274,0.6169831
968.1311,0.6272597
971.9882,0.6390226
975.8453,0.655617
979.7024,0.678822
983.5595,0.7010674
987.4166,0.7123501
991.2737,0.7195954
995.1308,0.7304711
998.9879,0.7392887
1002.845,0.7420812
1006.702,0.7428563
1010.559,0.7444621
1014.416,0.7473105
1018.273,0.7505527
1022.13,0.7550268
1025.988,0.7592157
1029.845,0.7593502
1033.702,0.753265
1037.559,0.7457098
1041.416,0.7447201
1045.273,0.750963
1049.13,0.756709
1052.987,0.7553791
1056.844,0.7464895
1060.701,0.7293136
1064.559,0.7062587
1068.416,0.6851663
1072.273,0.6712242
1076.13,0.6610563
1079.987,0.6507317
1083.844,0.6474007
1087.701,0.6525057
1091.558,0.6632113
1095.415,0.6789535
1099.272,0.6956219
1103.13,0.7077755
1106.987,0.711824
1110.844,0.7042719
1114.701,0.6810111
1118.558,0.6529174
1122.415,0.6296817
1126.272,0.6052383
1130.129,0.5829189
1133.986,0.5707197
1137.843,0.5722525
1141.7,0.588445
1145.558,0.6077648
1149.415,0.6198975
1153.272,0.6275896
1157.129,0.6326306
1160.986,0.6273724
