"wavenumber","intensity"
674.9918,1.191877
678.8489,1.207594
682.706,1.207594
686.5631,1.206022
690.4202,1.205196
694.2773,1.206091
698.1344,1.207774
701.9915,1.203301
705.8486,1.197253
709.7057,1.197384
713.5628,1.199177
717.4199,1.194518
721.277,1.190337
725.1341,1.191242
728.9911,1.19066
732.8483,1.181916
736.7054,1.162346
740.5624,1.141812
744.4196,1.131266
748.2767,1.120174
752.1337,1.10738
755.9908,1.092515
759.848,1.07628
763.705,1.066087
767.5621,1.058431
771.4193,1.046736
775.2763,1.033907
779.1334,1.021241
782.9905,1.007612
786.8476,0.9933054
790.7047,0.9802228
794.5618,0.96745
798.4189,0.9535223
802.276,0.942014
806.1331,0.9316455
809.9902,0.9218121
813.8473,0.9116177
817.7043,0.9040424
821.5615,0.899534
825.4186,0.9008221
829.2756,0.9085541
833.1328,0.9160685
836.9899,0.9086055
840.8469,0.8916245
844.704,0.8780308
848.5612,0.8699734
852.4182,0.8629636
856.2753,0.8548788
860.1324,0.8487204
863.9895,0.8442788
867.8466,0.8399087
871.7037,0.8381112
875.5608,0.8374039
879.4179,0.8375776
883.275,0.8398061
887.1321,0.8429011
890.9892,0.8444144
894.8463,0.8461769
898.7034,0.8490878
902.5605,0.8524958
906.4176,0.8572819
910.2747,0.8664786
914.1318,0.8772851
917.9889,0.8926416
921.8459,0.9177122
925.7031,0.9446739
929.5602,0.9521396
933.4172,0.9315081
937.2744,0.9034914
941.1315,0.8911223
944.9885,0.8963099
948.8456,0.9113162
952.7028,0.9245928
956.5598,0.9348569
960.4169,0.9389905
964.274,0.9295913
968.1311,0.9185071
971.9882,0.9123287
975.8453,0.9098199
979.7024,0.9075254
983.5595,0.903104
987.4166,0.8963935
991.2737,0.8885475
995.1308,0.8832189
998.9879,0.879078
1002.845,0.8749143
1006.702,0.8709411
1010.559,0.8690521
1014.416,0.8707387
1018.273,0.8766689
1022.13,0.888393
1025.988,0.9050893
1029.845,0.913329
1033.702,0.9042599
1037.559,0.8938433
1041.416,0.8873593
1045.273,0.8816921
1049.13,0.8818609
1052.987,0.8908829
1056.844,0.9053361
1060.701,0.9218198
1064.559,0.9372949
1068.416,0.9506617
1072.273,0.9617563
1076.13,0.9669513
1079.987,0.9641521
1083.844,0.9563187
1087.701,0.9496877
1091.558,0.9475286
1095.415,0.9494475
1099.272,0.9565699
1103.13,0.9731836
1106.987,0.9940479
1110.844,1.011764
1114.701,1.02746
1118.558,1.039633
1122.415,1.040524
1126.272,1.022292
1130.129,0.9885533
1133.986,0.9574181
1137.843,0.9431205
1141.7,0.9457521
1145.558,0.9598507
1149.415,0.9797669
1153.272,1.004559
1157.129,1.037249
1160.986,1.079326
1164.843,1.124003
1168.7,1.155324
1172.557,1.15768
1176.414,1.132234
1180.271,1.102601
1184.129,1.091081
1187.986,1.100857
1191.843,1.123849
1195.7,1.145366
1199.557,1.161099
1203.414,1.173169
1207.271,1.183071
1211.128,1.18568
1214.985,1.173241
1218.842,1.146269
1222.699,1.12576
1226.557,1.130788
1230.414,1.152817
1234.271,1.174488
1238.128,1.187179
1241.985,1.192098
1245.842,1.19445
1249.699,1.197719
1253.556,1.202199
1257.413,1.206676
1261.271,1.209009
1265.128,1.210587
1268.985,1.212749
1272.842,1.214183
1276.699,1.217046
1280.556,1.216431
1284.413,1.211301
1288.27,1.206426
1292.127,1.203123
1295.984,1.201693
1299.841,1.201309
1303.698,1.199448
1307.556,1.195128
1311.413,1.189416
1315.27,1.18322
1319.127,1.175805
1322.984,1.168805
1326.841,1.167223
1330.698,1.170137
1334.555,1.171316
1338.412,1.169462
1342.27,1.171178
1346.127,1.177347
1349.984,1.183653
1353.841,1.190868
1357.698,1.20034
1361.555,1.208993
1365.412,1.216619
1369.269,1.22275
1373.126,1.226735
1376.983,1.227997
1380.84,1.223228
1384.698,1.211685
1388.555,1.194894
1392.412,1.179627
1396.269,1.163877
1400.126,1.151596
1403.983,1.150738
1407.84,1.160265
1411.697,1.176105
1415.554,1.191076
1419.411,1.197765
1423.269,1.196287
1427.125,1.196608
1430.983,1.203496
1434.84,1.212295
1438.697,1.215839
1442.554,1.21608
1446.411,1.21802
1450.268,1.221927
1454.125,1.223215
1457.982,1.224249
1461.839,1.228234
1465.697,1.229338
1469.554,1.228911
1473.411,1.231856
1477.268,1.233364
1481.125,1.222894
1484.982,1.202857
1488.839,1.182306
1492.696,1.17638
1496.553,1.1811
1500.41,1.188058
1504.268,1.193337
1508.125,1.202038
1511.982,1.209212
1515.839,1.213884
1519.696,1.217671
1523.553,1.224023
1527.41,1.230027
1531.267,1.231895
1535.124,1.228703
1538.981,1.225506
1542.838,1.22682
1546.696,1.234738
1550.553,1.243515
1554.41,1.249565
1558.267,1.251413
1562.124,1.254885
1565.981,1.257618
1569.838,1.259939
1573.695,1.259621
1577.552,1.248672
1581.409,1.233381
1585.267,1.218621
1589.124,1.206908
1592.981,1.199859
1596.838,1.199866
1600.695,1.208256
1604.552,1.21981
1608.409,1.229142
1612.266,1.237004
1616.123,1.244606
1619.98,1.250118
1623.837,1.253528
1627.695,1.255324
1631.552,1.254965
1635.409,1.253479
1639.266,1.255164
1643.123,1.255771
1646.98,1.255158
1650.837,1.256256
1654.694,1.256104
1658.551,1.256498
1662.408,1.258248
1666.266,1.260508
1670.123,1.25989
1673.98,1.249694
1677.837,1.226901
1681.694,1.186166
1685.551,1.098569
1689.408,1.033803
1693.265,0.9906379
1697.122,0.9478992
1700.979,0.9072077
1704.837,0.888486
1708.694,0.877554
1712.551,0.8731228
1716.408,0.8664122
1720.265,0.8608935
1724.122,0.8573092
1727.979,0.8542139
1731.836,0.8495195
1735.693,0.8440476
1739.55,0.8375936
1743.407,0.8307968
1747.265,0.8187435
1751.122,0.8036267
1754.979,0.7927427
1758.836,0.7843767
1762.693,0.7748905
1766.55,0.7681371
1770.407,0.7617836
1774.264,0.7559577
1778.121,0.7521559
1781.978,0.7490513
1785.836,0.7460706
1789.693,0.7434123
1793.55,0.739571
1797.407,0.7377781
1801.264,0.7361869
1805.121,0.7349874
1808.978,0.7332628
1812.835,0.7317654
1816.692,0.7312686
1820.549,0.7310417
1824.406,0.7301215
1828.264,0.7291738
1832.121,0.7276651
1835.978,0.7264529
1839.835,0.7252561
1843.692,0.7239103
1847.549,0.721698
1851.406,0.7205366
1855.263,0.7198715
1859.12,0.7196133
1862.977,0.7201864
1866.835,0.7211559
1870.692,0.7213004
1874.549,0.7221022
1878.406,0.7231796
1882.263,0.724296
1886.12,0.7249038
1889.977,0.7252533
1893.834,0.7255666
1897.691,0.7259532
1901.548,0.7261935
1905.406,0.7256888
1909.263,0.724447
1913.12,0.7233731
1916.977,0.7223355
1920.834,0.7212106
1924.691,0.7205065
1928.548,0.7209099
1932.405,0.7215052
1936.262,0.7217479
1940.119,0.721328
1943.976,0.7208276
1947.834,0.7212714
1951.691,0.7214928
1955.548,0.7214429
1959.405,0.7220917
1963.262,0.723487
1967.119,0.7250853
1970.976,0.7261003
1974.833,0.7263273
1978.69,0.7263491
1982.547,0.7260414
1986.405,0.7259557
1990.262,0.7263597
1994.119,0.7266759
1997.976,0.7275414
2001.833,0.7287344
2005.69,0.730104
2009.547,0.7311388
2013.404,0.7323626
2017.261,0.73365
2021.118,0.7344448
2024.975,0.735026
2028.833,0.736088
2032.69,0.737768
2036.547,0.7394815
2040.404,0.7401096
2044.261,0.7391742
2048.118,0.738336
2051.975,0.738264
2055.832,0.7387394
2059.689,0.7399
2063.546,0.7417915
2067.404,0.7434223
2071.261,0.7441832
2075.118,0.7442468
2078.975,0.7441117
2082.832,0.7437239
2086.689,0.7432767
2090.546,0.7431726
2094.403,0.7431622
2098.26,0.7428061
2102.117,0.7431907
2105.975,0.7438968
2109.832,0.7444308
2113.689,0.7452676
2117.546,0.7466174
2121.403,0.7475823
2125.26,0.7477081
2129.117,0.7473946
2132.974,0.7470939
2136.831,0.7467551
2140.688,0.7465617
2144.545,0.7463993
2148.403,0.7462686
2152.26,0.7465749
2156.117,0.7473056
2159.974,0.7479657
2163.831,0.7489979
2167.688,0.7503819
2171.545,0.7511449
2175.402,0.7515028
2179.259,0.7518498
2183.116,0.7520373
2186.974,0.7524545
2190.831,0.7523813
2194.688,0.7514688
2198.545,0.7500474
