"wavenumber","intensity"
674.9918,2.075826
678.8489,2.100909
682.706,2.100909
686.5631,2.075569
690.4202,2.101578
694.2773,2.124737
698.1344,2.147763
701.9915,2.171396
705.8486,2.162446
709.7057,2.134905
713.5628,2.142464
717.4199,2.156483
721.277,2.16779
725.1341,2.145715
728.9911,2.168912
732.8483,2.207812
736.7054,2.194603
740.5624,2.140838
744.4196,2.098896
748.2767,2.061921
752.1337,2.052146
755.9908,2.038938
759.848,2.000859
763.705,1.97602
767.5621,1.953737
771.4193,1.91311
775.2763,1.885226
779.1334,1.872322
782.9905,1.857285
786.8476,1.837287
790.7047,1.824253
794.5618,1.792923
798.4189,1.750224
802.276,1.722526
806.1331,1.703258
809.9902,1.689465
813.8473,1.676317
817.7043,1.656227
821.5615,1.635759
825.4186,1.636002
829.2756,1.660199
833.1328,1.669494
836.9899,1.634884
840.8469,1.593551
844.704,1.567258
848.5612,1.54448
852.4182,1.535075
856.2753,1.530485
860.1324,1.516158
863.9895,1.513898
867.8466,1.518105
871.7037,1.516449
875.5608,1.517849
879.4179,1.516709
883.275,1.513665
887.1321,1.51333
890.9892,1.517728
894.8463,1.523809
898.7034,1.531778
902.5605,1.541217
906.4176,1.549936
910.2747,1.565607
914.1318,1.593646
917.9889,1.635914
921.8459,1.698733
925.7031,1.760433
929.5602,1.7751
933.4172,1.739362
937.2744,1.691155
941.1315,1.674909
944.9885,1.702668
948.8456,1.746848
952.7028,1.777188
956.5598,1.801614
960.4169,1.81201
964.274,1.784967
968.1311,1.758543
971.9882,1.753133
975.8453,1.742287
979.7024,1.71581
983.5595,1.698758
987.4166,1.678556
991.2737,1.645037
995.1308,1.618801
998.9879,1.610137
1002.845,1.601247
1006.702,1.589053
1010.559,1.590062
1014.416,1.599182
1018.273,1.615206
1022.13,1.65335
1025.988,1.704307
1029.845,1.736226
1033.702,1.732083
1037.559,1.714899
1041.416,1.689163
1045.273,1.661537
1049.13,1.655138
1052.987,1.676862
1056.844,1.708018
1060.701,1.740722
1064.559,1.774521
1068.416,1.804657
1072.273,1.836267
1076.13,1.850309
1079.987,1.82956
1083.844,1.806092
1087.701,1.788986
1091.558,1.780602
1095.415,1.779319
1099.272,1.802888
1103.13,1.859769
1106.987,1.923795
1110.844,1.97232
1114.701,2.009574
1118.558,2.025657
1122.415,2.007484
1126.272,1.94956
1130.129,1.870382
1133.986,1.799181
1137.843,1.768129
1141.7,1.765788
1145.558,1.793946
1149.415,1.855682
1153.272,1.937803
1157.129,2.029508
1160.986,2.128427
1164.843,2.225423
1168.7,2.300113
1172.557,2.318083
1176.414,2.258142
1180.271,2.201505
1184.129,2.19488
1187.986,2.214882
1191.843,2.243662
1195.7,2.281965
1199.557,2.311234
1203.414,2.348643
1207.271,2.367241
1211.128,2.366419
1214.985,2.351238
1218.842,2.301406
1222.699,2.251978
1226.557,2.253405
1230.414,2.284524
1234.271,2.332474
1238.128,2.364597
1241.985,2.391042
1245.842,2.416649
1249.699,2.435379
1253.556,2.421286
1257.413,2.398953
1261.271,2.414634
1265.128,2.426791
1268.985,2.438504
1272.842,2.443141
1276.699,2.432357
1280.556,2.433248
1284.413,2.435303
1288.27,2.43074
1292.127,2.40613
1295.984,2.379006
1299.841,2.365705
1303.698,2.372538
1307.556,2.372515
1311.413,2.370894
1315.27,2.362613
1319.127,2.336718
1322.984,2.327658
1326.841,2.338383
1330.698,2.357085
1334.555,2.353354
1338.412,2.356691
1342.27,2.378864
1346.127,2.403852
1349.984,2.411974
1353.841,2.415925
1357.698,2.435956
1361.555,2.437137
1365.412,2.434173
1369.269,2.440187
1373.126,2.460375
1376.983,2.459388
1380.84,2.440335
1384.698,2.430952
1388.555,2.405627
1392.412,2.387758
1396.269,2.370127
1400.126,2.357593
1403.983,2.372782
1407.84,2.392841
1411.697,2.411999
1415.554,2.412432
1419.411,2.402534
1423.269,2.412655
1427.125,2.429258
1430.983,2.447991
1434.84,2.471867
1438.697,2.484919
1442.554,2.473486
1446.411,2.464331
1450.268,2.469616
1454.125,2.479149
1457.982,2.486115
1461.839,2.477896
1465.697,2.468584
1469.554,2.471662
1473.411,2.470623
1477.268,2.480235
1481.125,2.479198
1484.982,2.450492
1488.839,2.426781
1492.696,2.420667
1496.553,2.419326
1500.41,2.434346
1504.268,2.450311
1508.125,2.432794
1511.982,2.461607
1515.839,2.528547
1519.696,2.569142
1523.553,2.537257
1527.41,2.477215
1531.267,2.471178
1535.124,2.492433
1538.981,2.488115
1542.838,2.480155
1546.696,2.486714
1550.553,2.504594
1554.41,2.541315
1558.267,2.564835
1562.124,2.524318
1565.981,2.531785
1569.838,2.513003
1573.695,2.482805
1577.552,2.493092
1581.409,2.500581
1585.267,2.481676
1589.124,2.49332
1592.981,2.493114
1596.838,2.462366
1600.695,2.461291
1604.552,2.481678
1608.409,2.485879
1612.266,2.483402
1616.123,2.47419
1619.98,2.486115
1623.837,2.499656
1627.695,2.517487
1631.552,2.534835
1635.409,2.552226
1639.266,2.581215
1643.123,2.569517
1646.98,2.537215
1650.837,2.50218
1654.694,2.511728
1658.551,2.538419
