"wavenumber","intensity"
674.9918,-0.1789491
678.8489,-0.1840949
682.706,-0.1840677
686.5631,-0.186149
690.4202,-0.1840379
694.2773,-0.1832828
698.1344,-0.184799
701.9915,-0.1857754
705.8486,-0.186055
709.7057,-0.1858457
713.5628,-0.1865863
717.4199,-0.1910993
721.277,-0.1940925
725.1341,-0.1947126
728.9911,-0.1965368
732.8483,-0.1964121
736.7054,-0.1960484
740.5624,-0.196737
744.4196,-0.197288
748.2767,-0.1990976
752.1337,-0.2016741
755.9908,-0.2033233
759.848,-0.2051537
763.705,-0.2070499
767.5621,-0.2101966
771.4193,-0.2126936
775.2763,-0.2158678
779.1334,-0.2188551
782.9905,-0.2207444
786.8476,-0.2229019
790.7047,-0.2250256
794.5618,-0.2287087
798.4189,-0.2333367
802.276,-0.2363722
806.1331,-0.2378227
809.9902,-0.2407939
813.8473,-0.2431516
817.7043,-0.2443669
821.5615,-0.2459157
825.4186,-0.2483347
829.2756,-0.2502654
833.1328,-0.2510914
836.9899,-0.2526459
840.8469,-0.2550056
844.704,-0.2574033
848.5612,-0.2603946
852.4182,-0.2648238
856.2753,-0.2681088
860.1324,-0.2706209
863.9895,-0.2726294
867.8466,-0.2736781
871.7037,-0.274573
875.5608,-0.2759883
879.4179,-0.2784297
883.275,-0.2809529
887.1321,-0.2823541
890.9892,-0.2830044
894.8463,-0.2847034
898.7034,-0.2871988
902.5605,-0.2906013
906.4176,-0.2954119
910.2747,-0.2984881
914.1318,-0.2989533
917.9889,-0.2984841
921.8459,-0.2978087
925.7031,-0.2981209
929.5602,-0.2991356
933.4172,-0.2999149
937.2744,-0.3022557
941.1315,-0.3055971
944.9885,-0.3083914
948.8456,-0.3116246
952.7028,-0.314205
956.5598,-0.3160475
960.4169,-0.3173156
964.274,-0.3176256
968.1311,-0.3173548
971.9882,-0.3169949
975.8453,-0.3168374
979.7024,-0.3164411
983.5595,-0.3153345
987.4166,-0.3150373
991.2737,-0.3160529
995.1308,-0.3165508
998.9879,-0.3162259
1002.845,-0.3157955
1006.702,-0.3139967
1010.559,-0.3109362
1014.416,-0.306621
1018.273,-0.302256
1022.13,-0.2990226
1025.988,-0.2955891
1029.845,-0.2917889
1033.702,-0.2881324
1037.559,-0.2837031
1041.416,-0.2794867
1045.273,-0.2778295
1049.13,-0.278559
1052.987,-0.279245
1056.844,-0.2792258
1060.701,-0.2788678
1064.559,-0.2785491
1068.416,-0.2775464
1072.273,-0.2761601
1076.13,-0.274302
1079.987,-0.2735373
1083.844,-0.2749113
1087.701,-0.2762443
1091.558,-0.2766099
1095.415,-0.2771438
1099.272,-0.2775682
1103.13,-0.2774858
1106.987,-0.2776345
1110.844,-0.2779445
1114.701,-0.2778985
1118.558,-0.2775231
1122.415,-0.2773422
1126.272,-0.2778449
1130.129,-0.2786228
1133.986,-0.2791938
1137.843,-0.2797944
1141.7,-0.2803684
1145.558,-0.2803709
1149.415,-0.2792694
1153.272,-0.2787136
1157.129,-0.2786853
1160.986,-0.2776636
1164.843,-0.276672
1168.7,-0.2763037
1172.557,-0.2764174
1176.414,-0.2766471
1180.271,-0.27698
1184.129,-0.2769353
1187.986,-0.2766361
1191.843,-0.2765689
1195.7,-0.276522
1199.557,-0.2761869
1203.414,-0.2753513
1207.271,-0.275302
1211.128,-0.2762447
1214.985,-0.2760955
1218.842,-0.2749674
1222.699,-0.2748831
1226.557,-0.2747114
1230.414,-0.2741534
1234.271,-0.2739976
1238.128,-0.2742549
1241.985,-0.2747929
1245.842,-0.2749106
1249.699,-0.2750729
1253.556,-0.2757904
1257.413,-0.2761586
1261.271,-0.2764937
1265.128,-0.2771282
1268.985,-0.2776696
1272.842,-0.2779004
1276.699,-0.2782941
1280.556,-0.2787941
1284.413,-0.2786979
1288.27,-0.2788934
