"wavenumber","intensity"
674.9918,0.87049
678.8489,0.868165
682.706,0.8684109
686.5631,0.866203
690.4202,0.8609585
694.2773,0.8576981
698.1344,0.8568413
701.9915,0.8573788
705.8486,0.8572949
709.7057,0.8588741
713.5628,0.864402
717.4199,0.8784293
721.277,0.9023171
725.1341,0.922372
728.9911,0.9285466
732.8483,0.922002
736.7054,0.9044698
740.5624,0.8773054
744.4196,0.8531479
748.2767,0.840475
752.1337,0.8340619
755.9908,0.8299897
759.848,0.8257262
763.705,0.8240258
767.5621,0.8270192
771.4193,0.8308553
775.2763,0.8327941
779.1334,0.8338583
782.9905,0.8368961
786.8476,0.8425878
790.7047,0.8507801
794.5618,0.8516399
798.4189,0.8432038
802.276,0.8368099
806.1331,0.8337629
809.9902,0.8305828
813.8473,0.8273366
817.7043,0.8240656
821.5615,0.8235949
825.4186,0.8261631
829.2756,0.8299639
833.1328,0.834246
836.9899,0.841113
840.8469,0.8519632
844.704,0.864499
848.5612,0.8722819
852.4182,0.8709051
856.2753,0.8631483
860.1324,0.8559118
863.9895,0.8542217
867.8466,0.8610041
871.7037,0.8728591
875.5608,0.8751295
879.4179,0.8656247
883.275,0.8535381
887.1321,0.8455865
890.9892,0.8425154
894.8463,0.8422558
898.7034,0.841363
902.5605,0.837871
906.4176,0.8317148
910.2747,0.8235263
914.1318,0.8168386
917.9889,0.8117748
921.8459,0.8085242
925.7031,0.8083633
929.5602,0.8086472
933.4172,0.8083362
937.2744,0.8084456
941.1315,0.8093852
944.9885,0.8105132
948.8456,0.8135766
952.7028,0.8189292
956.5598,0.8242405
960.4169,0.8315416
964.274,0.8425621
968.1311,0.8536994
971.9882,0.8577477
975.8453,0.852133
979.7024,0.8416865
983.5595,0.8339528
987.4166,0.8297982
991.2737,0.8255811
995.1308,0.8214848
998.9879,0.8201153
1002.845,0.8215455
1006.702,0.8275952
1010.559,0.8412133
1014.416,0.860097
1018.273,0.871778
1022.13,0.8702469
1025.988,0.8622608
1029.845,0.8544171
1033.702,0.850104
1037.559,0.8497573
1041.416,0.8526005
1045.273,0.8542756
1049.13,0.8501014
1052.987,0.8429171
1056.844,0.8370435
1060.701,0.8334066
1064.559,0.8319228
1068.416,0.8344138
1072.273,0.8426743
1076.13,0.8547743
1079.987,0.8671145
1083.844,0.8764675
1087.701,0.8808301
1091.558,0.8824078
1095.415,0.8831939
1099.272,0.883485
1103.13,0.8840179
1106.987,0.8861961
1110.844,0.8864251
1114.701,0.8842071
1118.558,0.8814853
1122.415,0.8797437
1126.272,0.8800346
1130.129,0.8816625
1133.986,0.8837891
1137.843,0.885614
1141.7,0.8862649
1145.558,0.8837797
1149.415,0.8760906
1153.272,0.864717
1157.129,0.8531978
1160.986,0.8433788
1164.843,0.8373078
1168.7,0.8372618
1172.557,0.8407655
1176.414,0.8416093
1180.271,0.837496
1184.129,0.8323555
1187.986,0.8293352
1191.843,0.8280918
1195.7,0.8280315
1199.557,0.8295624
1203.414,0.8319837
1207.271,0.8349919
1211.128,0.8385053
1214.985,0.8446795
1218.842,0.8538074
1222.699,0.862223
1226.557,0.8682025
1230.414,0.872893
1234.271,0.8765402
1238.128,0.877353
1241.985,0.8762091
1245.842,0.8744774
1249.699,0.8728242
1253.556,0.8720539
1257.413,0.8720768
