"wavenumber","intensity"
674.9918,0.3532372
678.8489,0.3614016
682.706,0.3608183
686.5631,0.3559024
690.4202,0.3541983
694.2773,0.356382
698.1344,0.3641557
701.9915,0.3766698
705.8486,0.3899135
709.7057,0.403391
713.5628,0.4226759
717.4199,0.4567317
721.277,0.4899249
725.1341,0.5010076
728.9911,0.5003297
732.8483,0.4907714
736.7054,0.4745231
740.5624,0.4478595
744.4196,0.4184245
748.2767,0.3966285
752.1337,0.3827951
755.9908,0.3731691
759.848,0.3665869
763.705,0.3610505
767.5621,0.3595219
771.4193,0.3620736
775.2763,0.3676241
779.1334,0.3741004
782.9905,0.3833191
786.8476,0.3984175
790.7047,0.4157744
794.5618,0.4196332
798.4189,0.4087868
802.276,0.4010713
806.1331,0.3985232
809.9902,0.3967022
813.8473,0.3956766
817.7043,0.3953681
821.5615,0.3963187
825.4186,0.3987204
829.2756,0.4042148
833.1328,0.4145321
836.9899,0.4280147
840.8469,0.443928
844.704,0.4605684
848.5612,0.4695918
852.4182,0.4659652
856.2753,0.4544477
860.1324,0.4438949
863.9895,0.4448531
867.8466,0.465766
871.7037,0.4905195
875.5608,0.4877921
879.4179,0.4621952
883.275,0.4354422
887.1321,0.4179164
890.9892,0.4108774
894.8463,0.4102638
898.7034,0.4097636
902.5605,0.4039697
906.4176,0.3935455
910.2747,0.3827163
914.1318,0.3740219
917.9889,0.3682895
921.8459,0.3654235
925.7031,0.3647591
929.5602,0.3658097
933.4172,0.3666662
937.2744,0.3663586
941.1315,0.3665033
944.9885,0.3673424
948.8456,0.3690622
952.7028,0.3737167
956.5598,0.3827033
960.4169,0.3975633
964.274,0.4188432
968.1311,0.4412455
971.9882,0.4528163
975.8453,0.4451003
979.7024,0.4256657
983.5595,0.4085684
987.4166,0.3988881
991.2737,0.3901632
995.1308,0.3822132
998.9879,0.3814713
1002.845,0.3881344
1006.702,0.4045963
1010.559,0.4354848
1014.416,0.4728001
1018.273,0.4910201
1022.13,0.4850314
1025.988,0.4741767
1029.845,0.4640217
1033.702,0.4550217
1037.559,0.4514391
1041.416,0.4505266
1045.273,0.447329
1049.13,0.4396189
1052.987,0.4290679
1056.844,0.4209208
1060.701,0.4194521
1064.559,0.4256106
1068.416,0.4375336
1072.273,0.4525815
1076.13,0.4682434
1079.987,0.4820493
1083.844,0.4907685
1087.701,0.4945918
1091.558,0.4957161
1095.415,0.495366
1099.272,0.4947104
1103.13,0.4945543
1106.987,0.4942808
1110.844,0.4938973
1114.701,0.4937203
1118.558,0.4924333
1122.415,0.4899626
1126.272,0.4872063
1130.129,0.4849131
1133.986,0.4828986
1137.843,0.4812852
1141.7,0.4786021
1145.558,0.4723332
1149.415,0.4630298
1153.272,0.4529798
1157.129,0.4448293
1160.986,0.4390361
1164.843,0.4358957
1168.7,0.4365512
1172.557,0.4384183
1176.414,0.4346772
1180.271,0.4237366
1184.129,0.4111982
1187.986,0.4024093
1191.843,0.3997146
1195.7,0.4033785
1199.557,0.411816
1203.414,0.4219343
1207.271,0.4305985
1211.128,0.4373599
1214.985,0.4438196
1218.842,0.4507331
1222.699,0.4569391
1226.557,0.4623769
1230.414,0.469023
1234.271,0.47579
1238.128,0.4798949
1241.985,0.4804862
