399.8484859844,57.9063997923
400.5625011380,73.3392410941
401.2765162915,93.6300229601
401.9905314450,89.9824164836
402.7045465986,79.7511379682
403.4185617521,87.4909920009
404.1325769057,96.7280888834
404.8465920592,79.5549920343
405.5606072128,76.2302253736
406.2746223663,94.6333183178
406.9886375199,101.3766153781
407.7026526734,96.5876203442
408.4166678269,90.4190858226
409.1306829805,83.9174063670
409.8446981340,87.3033498229
410.5587132876,91.1764781725
411.2727284411,87.6952070348
411.9867435947,89.5293901407
412.7007587482,92.1259931735
413.4147739017,88.2005047049
414.1287890553,86.8520895395
414.8428042088,87.7834711063
415.5568193624,90.7764452251
416.2708345159,89.4541932713
416.9848496695,84.3783725483
417.6988648230,82.7400030690
418.4128799766,73.4541758085
419.1268951301,67.3147268160
419.8409102836,86.6670670436
420.5549254372,84.7874644422
421.2689405907,78.5014121247
421.9829557443,86.5314155860
422.6969708978,94.5586833693
423.4109860514,85.0786844620
424.1250012049,83.2894441899
424.8390163584,85.3480138075
425.5530315120,87.3050260167
426.2670466655,87.2389920615
426.9810618191,83.9835781701
427.6950769726,84.4520872145
428.4090921262,84.7982858160
429.1231072797,81.6054045038
429.8371224332,85.0046723803
430.5511375868,88.8026474679
431.2651527403,83.3884162256
431.9791678939,80.3145651803
432.6931830474,83.9567146924
433.4071982010,84.4104662716
434.1212133545,81.5525944448
434.8352285081,82.6685478113
435.5492436616,84.3815133868
436.2632588151,81.1200127798
436.9772739687,81.0476259439
437.6912891222,85.9071240420
438.4053042758,86.9032454143
439.1193194293,84.9435521666
439.8333345829,84.7386197972
440.5473497364,83.8755051074
441.2613648899,83.7846572047
441.9753800435,87.0577561820
442.6893951970,86.9515350768
443.4034103506,84.1658779967
444.1174255041,85.0520709316
444.8314406577,87.2347382656
445.5454558112,87.4820226467
446.2594709648,87.4675747342
446.9734861183,88.1047638436
447.6875012718,89.0612435329
448.4015164254,89.9911449680
449.1155315789,89.8181692142
449.8295467325,88.4962899865
450.5435618860,88.2470022632
451.2575770396,89.5834329305
451.9715921931,89.5156902826
452.6856073466,89.9206362612
453.3996225002,91.0446972104
454.1136376537,87.5099679418
454.8276528073,85.1722331111
455.5416679608,88.7510763114
456.2556831144,89.6094005602
456.9696982679,87.9082074521
457.6837134214,91.2932854037
458.3977285750,90.4319736020
459.1117437285,87.9957838465
459.8257588821,88.6092608602
460.5397740356,88.4167201200
461.2537891892,88.9742018832
461.9678043427,89.9982101577
462.6818194963,87.7284604726
463.3958346498,88.2021685093
464.1098498033,90.1392198580
464.8238649569,87.7782421745
465.5378801104,87.1434954613
466.2518952640,88.3693861175
466.9659104175,87.8707816979
467.6799255711,87.4243644946
468.3939407246,85.6026957413
469.1079558781,86.0342207517
469.8219710317,90.0881349425
470.5359861852,89.6361325974
471.2500013388,87.3196643401
471.9640164923,88.3690202857
472.6780316459,86.3089831762
473.3920467994,85.0967954310
474.1060619530,87.5905570092
474.8200771065,87.7710253502
475.5340922600,87.2551423003
476.2481074136,88.6758945089
476.9621225671,88.2661499607
477.6761377207,86.5772650702
478.3901528742,86.9961745802
479.1041680278,89.4841825762
479.8181831813,89.6782967599
480.5321983348,86.8408772073
481.2462134884,87.0564926467
481.9602286419,89.1251978019
482.6742437955,88.2628194100
483.3882589490,87.9920189666
484.1022741026,88.1590935885
484.8162892561,86.8724460067
485.5303044097,87.2763637648
486.2443195632,87.5341249872
486.9583347167,86.9180132054
487.6723498703,87.3130214317
488.3863650238,86.6530615902
489.1003801774,86.3520846770
489.8143953309,87.0658338020
490.5284104845,85.9221962144
491.2424256380,85.8686877391
491.9564407915,86.9887567947
492.6704559451,85.2687349078
493.3844710986,84.8436541833
494.0984862522,86.5989938245
494.8125014057,86.4710800232
495.5265165593,85.2676787416
496.2405317128,84.8209106783
496.9545468663,84.8077880237
497.6685620199,84.5462097606
498.3825771734,83.7671814782
499.0965923270,83.8962031355
499.8106074805,84.5412000219
500.5246226341,84.4413275059
501.2386377876,84.4473566481
501.9526529412,84.5169307228
502.6666680947,84.0697577287
503.3806832482,84.1418426228
504.0946984018,84.1076013678
504.8087135553,83.9396529430
505.5227287089,84.4057111374
506.2367438624,84.8317594422
506.9507590160,84.7561120734
507.6647741695,84.7366614578
508.3787893230,85.2385631007
509.0928044766,86.0055127559
509.8068196301,86.5466080372
510.5208347837,86.7996887595
511.2348499372,86.6186084621
511.9488650908,86.6113509781
512.6628802443,87.7399262060
513.3768953979,88.6011018622
514.0909105514,88.0149998690
514.8049257049,87.2504707774
515.5189408585,87.1216444207
516.2329560120,87.2747578526
516.9469711656,87.4258407786
517.6609863191,87.5812326918
518.3750014727,88.0033447093
519.0890166262,87.9906242095
519.8030317797,87.5883727793
520.5170469333,88.0529529431
521.2310620868,87.7323312109
521.9450772404,86.6781876505
522.6590923939,87.5862376856
523.3731075475,88.6812117144
524.0871227010,88.2698126289
524.8011378545,88.3335643866
525.5151530081,88.2546759922
526.2291681616,87.3075146260
526.9431833152,87.3942457621
527.6571984687,87.4920410821
528.3712136223,87.6905159858
529.0852287758,88.4987731441
529.7992439294,88.5650591366
530.5132590829,88.3660422725
531.2272742364,88.3291518350
531.9412893900,87.7418019629
532.6553045435,88.0192891830
533.3693196971,88.9937475908
534.0833348506,88.7120474322
534.7973500042,88.1962206212
535.5113651577,88.3171054661
536.2253803112,88.4314060598
536.9393954648,88.5662385066
537.6534106183,88.2905058268
538.3674257719,87.8652840694
539.0814409254,88.0718682648
539.7954560790,87.9092881415
540.5094712325,87.2970076251
541.2234863861,87.5826184472
541.9375015396,88.3356162757
542.6515166931,88.5349652272
543.3655318467,88.0126555210
544.0795470002,87.3878615008
544.7935621538,87.6463673201
545.5075773073,88.1967296466
546.2215924609,88.0040433349
546.9356076144,87.7874513059
547.6496227679,88.0406997010
548.3636379215,88.2732108783
549.0776530750,88.3719429111
549.7916682286,88.2791630088
550.5056833821,88.0145797301
551.2196985357,88.0661491205
551.9337136892,88.3097349851
